需求ID,主题,要求,覆盖Codex开发Stage,验收门禁,测试/证据
REQ-P0-001,项目成本权威基准,销售绩效考核压缩包内权威项目成本分析必须作为A0基准，金额分毫不差,"S03,S04,S05,S06",ACC-ZERO-DELTA,test_zero_delta_a0
REQ-P0-002,零差异金额精度,任意0.01元差异必须失败，禁止float，使用整数分或Decimal,"S04,S06,S18",ACC-AMOUNT-STRICT,test_amount_precision
REQ-P0-003,原始数据不可污染,前端和后端不得修改原始上传数据、hash、原始抽取值,"S02,S03,S12,S17",ACC-RAW-IMMUTABLE,test_raw_immutable
REQ-P0-004,引用一致性,同一原始数据被不同板块引用不一致时必须失效缓存并重跑链路,"S02,S08,S09,S12,S18",ACC-RERUN-CONSISTENCY,test_rerun_consistency
REQ-P0-005,人类可读口径转换,内部口径转换与差异核对规则必须人类可读，可审计，可回滚,"S09,S10,S12",ACC-ADJUSTMENT-READABLE,test_adjustment_lineage
REQ-P0-006,数据源检查矩阵,按来源系统、业务板块、文件包、主体、账户、频率、状态、影响报告展示,"S03,S07,S11",ACC-DATA-CHECKBOARD,test_readiness_board
REQ-P0-007,报告不显工具痕迹,全中文、商务蓝色系、真实软件质感，避免明显工具化语言,"S10,S11,S16",ACC-UI-HUMAN,ui_review_checklist
REQ-P0-008,质量优先时间参考,时间为参考窗口，不得为凑时间放慢，也不得为赶时间绕过质量门禁,"S01,S18",ACC-TIME-QUALITY,go_no_go_check
REQ-P1-009,财务经营报表线,支持经营周/月/季/半年/年报告基础线,"S13,S14,S16",ACC-FINANCE-REPORT,test_finance_report
REQ-P1-010,回款应收账龄线,识别已开票未回款、完工未结算、结算未开票、逾期应收等,"S13,S15",ACC-AR-CHECK,test_ar_aging
REQ-P1-011,销售绩效事实线,输出绩效事实与复核清单，不做工资最终审批,S15,ACC-PERFORMANCE-FACTS,test_performance_facts
REQ-P1-012,资金计划现金贷款线,资金缺口、账户、贷款、现金压力提示，不做付款审批,S14,ACC-CASH-PLAN,test_cash_plan
REQ-P1-013,开票纳税税务政策线,开票纳税证据、税务风险、政策材料缺口，不做正式申报,S14,ACC-TAX-EVIDENCE,test_tax_evidence
REQ-P1-014,外协采购付款归集,外协、采购、付款归集和未归集成本池,S16,ACC-SUBCONTRACT,test_unassigned_cost_pool
REQ-P1-015,项目交付生产状态,开工、完工、结算、开票、回款生命周期和异常清单,S16,ACC-PROJECT-LIFECYCLE,test_project_lifecycle
REQ-P1-016,客户经营分析,客户价值、账龄、项目毛利、回款质量,S16,ACC-CUSTOMER,test_customer_profile
REQ-P2-017,财务SOP与岗位交接,财务SOP、交接材料、操作检查清单进入知识材料，不参与自动财务执行,S17,ACC-SOP,test_sop_index
REQ-P2-018,后续红圈自动接入,红圈可做，但不进入第一轮文件型MVP；后续只读接入，保留导出与hash,"S07,S18",ACC-REDCIRCLE-LATER,connector_plan_check
REQ-P2-019,OpMe后续接入,独立开发稳定后再接入OpMe入口，KMFA管项目财务经营，OpMe管技术服务报告,S18,ACC-OPME-HANDOFF,opme_integration_check
REQ-P0-020,防遗漏协议,所有P0/P1要求必须有任务、验收、测试、证据输出,"S01,S18",ACC-NO-OMISSION,no_omission_check
