path,bytes,sha256
91_前序散件归档/kmfa_stage1_v2/KMFA_Report_Preview_v1.html,19981,3c72a9d21ef077c35a7d9c39df60e516abaa2076d289ad1a7531d141a56a27e2
91_前序散件归档/kmfa_stage1_v2/KMFA_Dashboard_v2.html,37466,7e33f79487324750d8b658781fd6471f8093fdd676d31b8b08808f419689811b
91_前序散件归档/kmfa_stage1_v2/KMFA_DATA_READINESS_MATRIX_v0_1.csv,6110,9d638bf46d5abcd185d7e36b9511abddcedbc52261077b63e1f9c6bb962362c5
91_前序散件归档/kmfa_stage1_v2/KMFA_FULL_ROADMAP_STAGE_PHASE_TASK_v0_2.md,35651,80223cad59bd6f4c19e8f655ca542e2f647cd126b9093314f0270ac8a6a3215f
91_前序散件归档/kmfa_stage1_v2/KMFA_FORMULA_REGISTRY_v0_1.yaml,15944,2edccccdd6c2a2c95fc9966ec5f61c1db9c417225c6bcf28b9acf8d78b1db778
91_前序散件归档/kmfa_stage1_v3/KMFA_Management_Report_Preview_v2.html,20113,280cf4bbb42421a7462cfaf3223bce24686712fff0ee75b4de87c281d18cac18
91_前序散件归档/kmfa_stage1_v3/KMFA_System_Dashboard_v3.html,46275,4a4c82b0ea876db8145ce42285eb1a7d5b786d28275994bb60695e4fb5e17be3
91_前序散件归档/kmfa_stage1_v3/KMFA_Data_Source_Check_Board_v0_2.html,10426,136c724b6f8b505b19aca2a32014b3b6960b866bc6e56457119f634492961395
91_前序散件归档/kmfa_stage1_v3/KMFA_Data_Source_Check_Matrix_v0_2.csv,6549,c66f90f73d660287fd47e69e007b43534091c5650ecbe56f138155492a34bbc9
91_前序散件归档/kmfa_stage1_v3/KMFA_FULL_ROADMAP_STAGE_PHASE_TASK_v0_3.md,16407,de441d9ef562bf8375f62494924e481d3c4b26c56f29627334352a1ea7488802
91_前序散件归档/kmfa_stage1_v3/KMFA_ChatGPT_Stage1_to_Stage2_Gate_Review_v0_1.md,6865,0f533f47cbd752e1c48da62ce6d90f17f38695bf9f2eca777b65f69e214e5b70
91_前序散件归档/kmfa_stage1_v3/KMFA_FORMULA_REGISTRY_v0_2.yaml,15455,a7cc28034c23832235f8e196c488100ae06280c8a2c8909da70f453f7987b23f
91_前序散件归档/kmfa_stage1_v3/KMFA_Data_Relation_Model_v0_1.md,7525,a350bc66d684546d29b0973b63c5e9a2ecf9b26eb6298ce4e261d8256a99bcf5
91_前序散件归档/kmfa_stage1_v4/KMFA_Stage1_Closure_Confirmation_v1.md,3646,e832223018a4e8a37f9e3a14b0e99d0108a2670d0a9b621d4863d02d59aac018
91_前序散件归档/kmfa_stage1_v4/KMFA_FAST_TRACK_ROADMAP_STAGE_PHASE_TASK_v0_4.md,7212,4b76916d22b4f5bcd285a672cfceb852ae13bfbd17fc6bdafff9ee8deef422e1
91_前序散件归档/kmfa_stage1_v4/KMFA_MVP_Data_Readiness_Board_v0_3.html,7796,48a0ac5709d13155f843fe15d7dbed28428279d5653a518186bc33c5ed77f1a0
91_前序散件归档/kmfa_stage1_v4/KMFA_PROJECT_COST_ANALYSIS_MVP_SPEC_v0_1.md,4670,7b240381cdf51eb4848e2abd2de6be2470c6a654094f9062a6b5e003f1e41a35
91_前序散件归档/kmfa_stage1_v4/KMFA_Uploaded_Data_Source_Inventory_v0_1.csv,13844,1dd41b6190c414ffc04f29eaa1c5d8e17bda3fe8faf45b93b92b12a6bfe621a1
91_前序散件归档/kmfa_stage1_v4/KMFA_Uploaded_Data_Source_Summary_v0_1.md,1396,93828a726837c1582e11615a291c4f7ff32173d29e01ce19daba6e483ea90ddb
91_前序散件归档/kmfa_stage1_v4/KMFA_Project_Cost_Report_Preview_v0_1.html,8954,29676eb14b924e27d58c728c7c37ced5bbb5f410e7748662a6efd1e2a29e41c1
91_前序散件归档/kmfa_stage1_v4/KMFA_FORMULA_REGISTRY_v0_3_PROJECT_COST.yaml,5475,cc85a44d921d68fa452ec0009bd1c6e0201eb1c56b0eeb90047e14fd40cb9ad6
91_前序散件归档/KMFA_ChatGPT_Stage3_Codex_Delivery_v1_1/01_KMFA_Codex_TaskPack_v1_1_完整防遗漏.md,10541,6446d5bcaab11be2b2e7cb4b1db673782d785062d8e9071152cabdb74b9dfcd5
91_前序散件归档/KMFA_ChatGPT_Stage3_Codex_Delivery_v1_1/02_KMFA_Codex_Development_Roadmap_18_Stages_v1_1.md,31710,de08602f659b2618883e686f88d3427a76c5358ec4f1491062d0b5df8b304cc5
